### after_preprocess: monotonic_ranges=504 resident=385.6MB | scratch_regions=1 resident_lb=6.1MB span_ub=6.9MB
  scratch region 2834: span=3.5MB max_single_res=2.1MB ranges=130008 sites=[('c_parse.c:12704:c_parse_types_compatible_core', 107039), ('c_gen.c:25797:c_ir_promoted_member_path', 22941), ('machine.c:2712:machine_debug_facts_build', 24), ('machine.c:2571:machine_function_compact_virtual_registers', 1)]
  scratch region 1571: span=0.5MB max_single_res=0.3MB ranges=6 sites=[('c_gen.c:21832:c_ir_value_integer_constant_evaluate', 3), ('c_gen.c:21833:c_ir_value_integer_constant_evaluate', 3)]
### after_emit: monotonic_ranges=2850 resident=1389.6MB | scratch_regions=5 resident_lb=52.9MB span_ub=119.9MB
  mono res=  281.04MB handed=    297.3MB n= 1172 c_gen.c:50655:c_lower_to_ir_with_options
  mono res=  137.33MB handed=    384.2MB n=  144 c_source.c:2651:c_lex_dispatch
  mono res=  114.29MB handed=    384.2MB n=  144 c_source.c:647:c_translate_source
  mono res=   65.97MB handed=     68.8MB n=  329 c_gen.c:50653:c_lower_to_ir_with_options
  mono res=   57.40MB handed=    126.2MB n=   92 c_source.c:648:c_translate_source
  mono res=   54.58MB handed=     63.0MB n=    1 object.c:11196:object_write_elf64_with_capacity
  mono res=   47.30MB handed=     46.4MB n=  235 c_gen.c:50663:c_lower_to_ir_with_options
  mono res=   46.98MB handed=     50.9MB n=   75 c_gen.c:47813:c_ir_global_initializer
  mono res=   31.49MB handed=     30.8MB n=  164 c_gen.c:50661:c_lower_to_ir_with_options
  mono res=   25.19MB handed=     25.0MB n=   46 c_parse.c:1512:c_parse_type_layout_core
  mono res=   25.17MB handed=     25.2MB n=    1 c_gen.c:48436:c_lower_to_ir_with_options
  mono res=   25.10MB handed=     25.1MB n=    8 c_gen.c:5048:c_ir_ssa_grow_slots
  mono res=   24.76MB handed=     64.6MB n=    1 codegen.c:11592:codegen_generate_canonical_module_attempt
  mono res=   23.89MB handed=     30.0MB n=   48 c_source.c:2652:c_lex_dispatch
  mono res=   23.24MB handed=     23.0MB n=   45 c_source.c:103:c_space_allocate
  mono res=   21.41MB handed=     21.4MB n=    1 object.c:10462:object_from_canonical_codegen_module
  mono res=   18.83MB handed=     20.9MB n=    8 c_source.c:266:c_source_map_append
  mono res=   15.09MB handed=    633.7MB n=    1 c_parse.c:22665:c_analyze_semantics_core
  mono res=   14.41MB handed=     14.4MB n=    1 c_parse.c:22721:c_analyze_semantics_core
  mono res=   14.41MB handed=     14.4MB n=    1 c_parse.c:452:c_parse_position_index_build
  mono res=   14.41MB handed=     14.4MB n=    1 c_gen.c:48612:c_lower_to_ir_with_options
  mono res=   14.41MB handed=     14.4MB n=    1 c_gen.c:49871:c_lower_to_ir_with_options
  mono res=   13.80MB handed=     28.8MB n=    1 c_parse.c:22642:c_analyze_semantics_core
  mono res=   13.73MB handed=     13.7MB n=    1 codegen.c:11277:codegen_generate_canonical_module_attempt
  mono res=   12.67MB handed=     12.5MB n=   46 c_parse.c:1513:c_parse_type_layout_core
  scratch region 2835: span=80.7MB max_single_res=28.8MB ranges=19826 sites=[('c_gen.c:17515:c_ir_types_compatible', 6951), ('c_gen.c:24702:c_ir_lower_nested_compound_literal_step', 3493), ('c_parse.c:2660:c_parse_member_type', 2767), ('c_parse.c:2661:c_parse_member_type', 2767)]
  scratch region 0: span=28.2MB max_single_res=15.7MB ranges=2411 sites=[('c_gen.c:50700:c_lower_to_ir_with_options', 1563), ('c_gen.c:36981:c_ir_lower_body_initialize', 393), ('c_gen.c:5048:c_ir_ssa_grow_slots', 122), ('c_gen.c:43241:c_ir_constant_initializer_bytes_core', 38)]
  scratch region 73: span=6.9MB max_single_res=6.1MB ranges=2 sites=[('c_source.c:103:c_space_allocate', 2)]
  scratch region 2834: span=3.5MB max_single_res=2.1MB ranges=130008 sites=[('c_parse.c:12704:c_parse_types_compatible_core', 107039), ('c_gen.c:25797:c_ir_promoted_member_path', 22941), ('machine.c:2712:machine_debug_facts_build', 24), ('machine.c:2571:machine_function_compact_virtual_registers', 1)]
  scratch region 1571: span=0.5MB max_single_res=0.3MB ranges=6 sites=[('c_gen.c:21832:c_ir_value_integer_constant_evaluate', 3), ('c_gen.c:21833:c_ir_value_integer_constant_evaluate', 3)]
